5701,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,5:20,5:25,5:28,5:31,5:34,5:37
5061,普通,20:18,20:21,20:23,20:26,20:29,20:32,20:34,20:38,20:41,20:44,20:47,20:49,20:52,20:55,21:05,21:11,21:14,21:17,21:20,21:23
5327,普通,20:24,20:27,20:30,20:33,20:36,20:39,20:41,20:48,20:51,20:54,20:57,20:59,21:02,21:05,・・,・・,・・,・・,・・,・・
3059,快速,20:30,20:32,20:35,20:38,20:41,↓,↓,↓,↓,20:51,↓,20:55,↓,↓,21:03,↓,↓,↓,↓,21:15
5329,普通,20:36,20:39,20:42,20:45,20:47,20:50,20:52,20:56,20:59,21:02,21:05,21:07,21:10,21:13,・・,・・,・・,・・,・・,・・
4061,区快,20:43,20:46,20:49,20:52,20:54,↓,↓,21:01,21:04,21:07,↓,21:11,21:14,↓,21:20,21:25,21:28,21:31,21:34,21:37
5331,普通,20:48,20:51,20:53,20:56,20:59,21:02,21:04,21:08,21:11,21:14,21:17,21:19,21:22,21:25,・・,・・,・・,・・,・・,・・
5707,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,21:35,21:41,21:44,21:47,21:50,21:53
5333,普通,20:54,20:57,21:00,21:03,21:06,21:09,21:11,21:18,21:21,21:24,21:27,21:29,21:32,21:35,・・,・・,・・,・・,・・,・・
3061,快速,21:00,21:02,21:05,21:08,21:11,↓,↓,↓,↓,21:21,↓,21:25,↓,↓,21:33,↓,↓,↓,↓,21:45
5335,普通,21:06,21:09,21:12,21:15,21:17,21:20,21:22,21:26,21:29,21:32,21:35,21:37,21:40,21:43,・・,・・,・・,・・,・・,・・
4063,区快,21:13,21:16,21:19,21:22,21:24,↓,↓,21:31,21:34,21:37,↓,21:41,21:44,↓,21:50,21:54,21:58,22:01,22:04,22:06
5063,普通,21:18,21:21,21:23,21:26,21:29,21:32,21:34,21:38,21:41,21:44,21:47,21:49,21:52,21:55,22:05,22:11,22:14,22:17,22:20,22:23
5337,普通,21:24,21:27,21:30,21:33,21:36,21:39,21:41,21:48,21:51,21:54,21:57,21:59,22:02,22:05,・・,・・,・・,・・,・・,・・
3063,快速,21:30,21:32,21:35,21:38,21:41,↓,↓,↓,↓,21:51,↓,21:55,↓,↓,22:03,↓,↓,↓,↓,22:15
5339,普通,21:36,21:39,21:42,21:45,21:47,21:50,21:52,21:56,21:59,22:02,22:05,22:07,22:10,22:13,・・,・・,・・,・・,・・,・・
4065,区快,21:43,21:46,21:49,21:52,21:54,↓,↓,22:01,22:04,22:07,↓,22:11,22:14,↓,22:20,22:24,22:28,22:31,22:34,22:36
5065,普通,21:48,21:51,21:53,21:56,21:59,22:02,22:04,22:08,22:11,22:14,22:17,22:19,22:22,22:25,22:35,22:41,22:45,22:48,22:51,22:53
5341,普通,21:56,21:58,22:01,22:04,22:07,22:10,22:12,22:19,22:22,22:25,22:28,22:31,22:34,22:36,・・,・・,・・,・・,・・,・・
3065,快速,22:00,22:03,22:06,22:09,22:12,↓,↓,↓,↓,22:22,↓,22:26,↓,↓,22:34,↓,↓,↓,↓,22:45
5343,普通,22:07,22:09,22:12,22:15,22:18,22:21,22:23,22:27,22:30,22:33,22:35,22:38,22:41,22:44,・・,・・,・・,・・,・・,・・
4067,区快,22:15,22:17,22:20,22:23,22:26,↓,↓,22:32,22:35,22:38,↓,22:42,22:45,↓,22:51,22:55,22:59,23:02,23:05,23:08
5345,普通,22:22,22:25,22:27,22:30,22:33,22:36,22:38,22:42,22:45,22:48,22:51,22:53,22:56,22:59,・・,・・,・・,・・,・・,・・
4069,区快,22:30,22:32,22:35,22:38,22:41,↓,↓,22:47,22:50,22:53,↓,22:57,23:00,↓,23:06,23:10,23:14,23:17,23:20,23:23
5347,普通,22:38,22:40,22:43,22:46,22:49,22:52,22:54,22:57,23:01,23:03,23:06,23:09,23:12,23:14,・・,・・,・・,・・,・・,・・
4071,区快,22:45,22:47,22:50,22:53,22:56,↓,↓,23:02,23:05,23:08,↓,23:12,23:15,↓,23:21,23:25,23:29,23:32,23:35,23:38
5067,普通,22:53,22:55,22:58,23:01,23:04,23:07,23:09,23:13,23:16,23:19,23:21,23:28,23:31,23:33,23:38,23:42,23:46,23:49,23:52,23:55
3067,快速,23:00,23:03,23:06,23:09,23:12,↓,↓,↓,↓,23:22,↓,23:26,↓,↓,23:34,↓,↓,↓,↓,23:46
5349,普通,23:07,23:09,23:12,23:15,23:18,23:21,23:23,23:27,23:30,23:33,23:35,23:38,23:41,23:43,・・,・・,・・,・・,・・,・・
3067,快速,23:00,23:03,23:06,23:09,23:12,↓,↓,↓,↓,23:22,↓,23:26,↓,↓,23:34,↓,↓,↓,↓,23:46
5349,普通,23:07,23:09,23:12,23:15,23:18,23:21,23:23,23:27,23:30,23:33,23:35,23:38,23:41,23:43,・・,・・,・・,・・,・・,・・
4073,区快,23:15,23:17,23:20,23:23,23:26,↓,↓,23:32,23:35,23:38,↓,23:42,23:45,↓,23:51,23:55,23:59,0:02,0:05,0:08
5351,普通,23:22,23:24,23:27,23:30,23:33,23:36,23:38,23:41,23:45,23:47,23:50,23:53,23:56,23:58,・・,・・,・・,・・,・・,・・
4075,区快,23:30,23:33,23:36,23:39,23:41,↓,↓,23:48,23:51,23:54,↓,23:58,0:01,↓,0:07,0:11,0:15,0:18,0:21,0:24
5353,普通,23:35,23:37,23:40,23:43,23:46,23:49,23:51,23:54,23:58,0:00,0:03,0:06,0:09,0:11,・・,・・,・・,・・,・・,・・
5069,普通,23:45,23:47,23:50,23:53,23:56,23:59,0:01,0:04,0:08,0:10,0:13,0:16,0:19,0:21,0:26,0:31,0:34,0:37,0:41,0:43
5355,普通,23:54,23:56,23:59,0:02,0:05,0:08,0:10,0:14,0:17,0:20,0:22,0:25,0:28,0:30,・・,・・,・・,・・,・・,・・
5357,普通,0:06,0:08,0:11,0:14,0:17,0:20,0:22,0:25,0:29,0:31,0:34,0:37,0:40,0:42,・・,・・,・・,・・,・・,・・
5591,普通,・・,・・,・・,・・,0:25,0:28,0:30,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・
5359,普通,0:18,0:20,0:23,0:26,0:29,0:32,0:34,0:37,0:41,0:43,0:46,0:49,0:52,0:54,・・,・・,・・,・・,・・,・・
