5701,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,05:20,05:25,05:28,05:31,05:34,05:37
5229,普通,08:06,08:08,08:11,08:14,08:17,08:20,08:22,08:26,08:29,08:32,08:34,08:37,08:40,08:42,・・,・・,・・,・・,・・,・・
5231,普通,08:09,08:11,08:14,08:17,08:20,08:23,08:25,08:29,08:32,08:35,08:38,08:40,08:43,08:46,・・,・・,・・,・・,・・,・・
5015,普通,08:11,08:14,08:16,08:19,08:22,08:25,08:27,08:32,08:35,08:38,08:41,08:47,08:50,08:53,08:58,09:03,09:06,09:09,09:13,09:15
5505,普通,08:13,08:16,08:19,08:22,08:24,08:27,08:29,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・
5233,普通,08:16,08:19,08:21,08:24,08:27,08:30,08:32,08:38,08:42,08:45,08:47,08:50,08:53,08:56,・・,・・,・・,・・,・・,・・
3009,快速,08:19,08:21,08:24,08:27,08:30,↓,↓,↓,↓,08:42,↓,08:46,↓,↓,08:53,↓,↓,↓,↓,09:05
5235,普通,08:22,08:24,08:27,08:30,08:33,08:36,08:38,08:45,08:49,08:52,08:54,08:57,09:00,09:02,・・,・・,・・,・・,・・,・・
4205,区快,08:25,08:27,08:30,08:33,08:36,↓,↓,08:43,08:47,08:49,↓,08:53,08:57,↓,・・,・・,・・,・・,・・,・・
5237,普通,08:27,08:30,08:33,08:36,08:38,08:42,08:44,08:48,08:51,08:54,08:57,08:59,09:03,09:05,・・,・・,・・,・・,・・,・・
5239,普通,08:30,08:33,08:35,08:38,08:42,08:45,08:47,08:54,08:58,09:01,09:03,09:06,09:09,09:11,・・,・・,・・,・・,・・,・・
4015,区快,08:33,08:36,08:39,08:42,08:45,↓,↓,08:52,08:56,08:58,↓,09:03,09:06,↓,09:12,09:16,09:20,09:23,09:26,09:29
5241,普通,08:36,08:39,08:42,08:45,08:48,08:51,08:53,08:57,09:00,09:03,09:06,09:08,09:11,09:14,・・,・・,・・,・・,・・,・・
5243,普通,08:39,08:42,08:44,08:47,08:51,08:54,08:56,08:59,09:03,09:05,09:08,09:11,09:14,09:16,・・,・・,・・,・・,・・,・・
5017,普通,08:42,08:45,08:47,08:50,08:53,08:56,08:58,09:02,09:05,09:08,09:10,09:16,09:20,09:22,09:27,09:31,09:35,09:38,09:41,09:44
